name	sex	n
Aada	flickor	NA
Aada	pojkar	NA
Aadam	flickor	NA
Aadam	pojkar	NA
Aadhira	flickor	2
Aadhira	pojkar	NA
Aadhiran	flickor	NA
Aadhiran	pojkar	NA
Aadhya	flickor	5
Aadhya	pojkar	NA
Aadi	flickor	NA
Aadi	pojkar	3
Aadil	flickor	NA
Aadil	pojkar	NA
Aadvik	flickor	NA
Aadvik	pojkar	NA
Aadya	flickor	2
Aadya	pojkar	NA
Aahana	flickor	NA
Aahana	pojkar	NA
Aahil	flickor	NA
Aahil	pojkar	3
Aaila	flickor	NA
Aaila	pojkar	NA
Aaima	flickor	2
Aaima	pojkar	NA
Aaira	flickor	NA
Aaira	pojkar	NA
Aairah	flickor	NA
Aairah	pojkar	NA
Aaisha	flickor	NA
Aaisha	pojkar	NA
Aalaa	flickor	NA
Aalaa	pojkar	NA
Aaleyah	flickor	NA
Aaleyah	pojkar	NA
Aalia	flickor	NA
Aalia	pojkar	NA
Aaliya	flickor	4
Aaliya	pojkar	NA
Aaliyah	flickor	17
Aaliyah	pojkar	NA
Aamina	flickor	NA
Aamina	pojkar	NA
Aamir	flickor	NA
Aamir	pojkar	NA
Aamna	flickor	NA
Aamna	pojkar	NA
Aanya	flickor	2
Aanya	pojkar	NA
Aaradhya	flickor	NA
Aaradhya	pojkar	NA
Aarav	flickor	NA
Aarav	pojkar	2
Aariv	flickor	NA
Aariv	pojkar	NA
Aariz	flickor	NA
Aariz	pojkar	3
Aarna	flickor	4
Aarna	pojkar	NA
Aaro	flickor	NA
Aaro	pojkar	NA
Aarohi	flickor	NA
Aarohi	pojkar	NA
Aaron	flickor	NA
Aaron	pojkar	117
Aarón	flickor	NA
Aarón	pojkar	NA
Aarush	flickor	NA
Aarush	pojkar	NA
Aarya	flickor	NA
Aarya	pojkar	NA
Aaryan	flickor	NA
Aaryan	pojkar	2
Aashna	flickor	NA
Aashna	pojkar	NA
Aasia	flickor	NA
Aasia	pojkar	NA
Aasiya	flickor	2
Aasiya	pojkar	NA
Aasiyah	flickor	NA
Aasiyah	pojkar	NA
Aava	flickor	4
Aava	pojkar	NA
Aavya	flickor	4
Aavya	pojkar	NA
Aayan	flickor	NA
Aayan	pojkar	5
Aayat	flickor	NA
Aayat	pojkar	NA
Abaan	flickor	NA
Abaan	pojkar	NA
Abaas	flickor	NA
Abaas	pojkar	NA
Abakir	flickor	NA
Abakir	pojkar	NA
Abanob	flickor	NA
Abanob	pojkar	NA
Abanoub	flickor	NA
Abanoub	pojkar	2
Abas	flickor	NA
Abas	pojkar	2
Abbas	flickor	NA
Abbas	pojkar	14
Abbe	flickor	NA
Abbe	pojkar	70
Abbie	flickor	NA
Abbie	pojkar	NA
Abby	flickor	NA
Abby	pojkar	NA
Abd	flickor	NA
Abd	pojkar	5
Abd Alaziz	flickor	NA
Abd Alaziz	pojkar	NA
Abd Alrahman	flickor	NA
Abd Alrahman	pojkar	NA
Abdala	flickor	NA
Abdala	pojkar	3
Abdalaziz	flickor	NA
Abdalaziz	pojkar	NA
Abdalla	flickor	NA
Abdalla	pojkar	4
Abdallah	flickor	NA
Abdallah	pojkar	7
Abdalrahim	flickor	NA
Abdalrahim	pojkar	NA
Abdalrahman	flickor	NA
Abdalrahman	pojkar	2
Abdalrhman	flickor	NA
Abdalrhman	pojkar	NA
Abdarahman	flickor	NA
Abdarahman	pojkar	NA
Abdel	flickor	NA
Abdel	pojkar	NA
Abdel Rahman	flickor	NA
Abdel Rahman	pojkar	NA
Abdelaziz	flickor	NA
Abdelaziz	pojkar	NA
Abdelhamid	flickor	NA
Abdelhamid	pojkar	NA
Abdelkader	flickor	NA
Abdelkader	pojkar	2
Abdelkarim	flickor	NA
Abdelkarim	pojkar	NA
Abdelrahman	flickor	NA
Abdelrahman	pojkar	2
Abdel-Rahman	flickor	NA
Abdel-Rahman	pojkar	NA
Abdi	flickor	NA
Abdi	pojkar	NA
Abdi Rahman	flickor	NA
Abdi Rahman	pojkar	NA
Abdiaziz	flickor	NA
Abdiaziz	pojkar	NA
Abdibasid	flickor	NA
Abdibasid	pojkar	NA
Abdibasit	flickor	NA
Abdibasit	pojkar	NA
Abdifatah	flickor	NA
Abdifatah	pojkar	2
Abdifitah	flickor	NA
Abdifitah	pojkar	NA
Abdihafid	flickor	NA
Abdihafid	pojkar	3
Abdihakim	flickor	NA
Abdihakim	pojkar	NA
Abdihamid	flickor	NA
Abdihamid	pojkar	2
Abdijamal	flickor	NA
Abdijamal	pojkar	NA
Abdijibar	flickor	NA
Abdijibar	pojkar	NA
Abdikadir	flickor	NA
Abdikadir	pojkar	NA
Abdikafi	flickor	NA
Abdikafi	pojkar	NA
Abdikani	flickor	NA
Abdikani	pojkar	NA
Abdikarim	flickor	NA
Abdikarim	pojkar	2
Abdikarin	flickor	NA
Abdikarin	pojkar	NA
Abdikhadar	flickor	NA
Abdikhadar	pojkar	NA
Abdiladif	flickor	NA
Abdiladif	pojkar	NA
Abdilahi	flickor	NA
Abdilahi	pojkar	NA
Abdillahi	flickor	NA
Abdillahi	pojkar	NA
Abdimajid	flickor	NA
Abdimajid	pojkar	NA
Abdimalek	flickor	NA
Abdimalek	pojkar	NA
Abdimalik	flickor	NA
Abdimalik	pojkar	6
Abdinajib	flickor	NA
Abdinajib	pojkar	NA
Abdinasir	flickor	NA
Abdinasir	pojkar	NA
Abdinor	flickor	NA
Abdinor	pojkar	NA
Abdinur	flickor	NA
Abdinur	pojkar	NA
Abdiqafar	flickor	NA
Abdiqafar	pojkar	NA
Abdiqani	flickor	NA
Abdiqani	pojkar	NA
Abdirahim	flickor	NA
Abdirahim	pojkar	NA
Abdirahin	flickor	NA
Abdirahin	pojkar	NA
Abdirahmaan	flickor	NA
Abdirahmaan	pojkar	NA
Abdirahman	flickor	NA
Abdirahman	pojkar	29
Abdirashid	flickor	NA
Abdirashid	pojkar	NA
Abdirashiid	flickor	NA
Abdirashiid	pojkar	NA
Abdirazak	flickor	NA
Abdirazak	pojkar	NA
Abdirihin	flickor	NA
Abdirihin	pojkar	NA
Abdirihman	flickor	NA
Abdirihman	pojkar	NA
Abdirisak	flickor	NA
Abdirisak	pojkar	NA
Abdirisaq	flickor	NA
Abdirisaq	pojkar	NA
Abdirizak	flickor	NA
Abdirizak	pojkar	NA
Abdisalam	flickor	NA
Abdisalam	pojkar	NA
Abdisalan	flickor	NA
Abdisalan	pojkar	NA
Abdisamad	flickor	NA
Abdisamad	pojkar	NA
Abdisamed	flickor	NA
Abdisamed	pojkar	NA
Abdishakur	flickor	NA
Abdishakur	pojkar	NA
Abdiwahab	flickor	NA
Abdiwahab	pojkar	NA
Abdiwahid	flickor	NA
Abdiwahid	pojkar	NA
Abdo	flickor	NA
Abdo	pojkar	NA
Abdollah	flickor	NA
Abdollah	pojkar	NA
Abdou	flickor	NA
Abdou	pojkar	NA
Abdoulie	flickor	NA
Abdoulie	pojkar	NA
Abdourahman	flickor	NA
Abdourahman	pojkar	NA
Abdrahman	flickor	NA
Abdrahman	pojkar	NA
Abduallah	flickor	NA
Abduallah	pojkar	NA
Abdul	flickor	NA
Abdul	pojkar	10
Abdul Ahad	flickor	NA
Abdul Ahad	pojkar	NA
Abdul Aziz	flickor	NA
Abdul Aziz	pojkar	NA
Abdul Rahman	flickor	NA
Abdul Rahman	pojkar	2
Abdul Razak	flickor	NA
Abdul Razak	pojkar	NA
Abdula	flickor	NA
Abdula	pojkar	NA
Abdulaahi	flickor	NA
Abdulaahi	pojkar	NA
Abdulah	flickor	NA
Abdulah	pojkar	NA
Abdulahi	flickor	NA
Abdulahi	pojkar	5
Abdulatif	flickor	NA
Abdulatif	pojkar	NA
Abdulaziz	flickor	NA
Abdulaziz	pojkar	2
Abdulbari	flickor	NA
Abdulbari	pojkar	NA
Abdulfatah	flickor	NA
Abdulfatah	pojkar	NA
Abdulghani	flickor	NA
Abdulghani	pojkar	NA
Abdulhakim	flickor	NA
Abdulhakim	pojkar	2
Abdul-Halim	flickor	NA
Abdul-Halim	pojkar	NA
Abdulhamid	flickor	NA
Abdulhamid	pojkar	NA
Abdulkader	flickor	NA
Abdulkader	pojkar	NA
Abdulkadir	flickor	NA
Abdulkadir	pojkar	3
Abdulkarim	flickor	NA
Abdulkarim	pojkar	NA
Abdulla	flickor	NA
Abdulla	pojkar	NA
Abdullaahi	flickor	NA
Abdullaahi	pojkar	NA
Abdullah	flickor	NA
Abdullah	pojkar	28
Abdullahi	flickor	NA
Abdullahi	pojkar	20
Abdullatif	flickor	NA
Abdullatif	pojkar	NA
Abdulloh	flickor	NA
Abdulloh	pojkar	3
Abdullrahman	flickor	NA
Abdullrahman	pojkar	NA
Abdullrhman	flickor	NA
Abdullrhman	pojkar	NA
Abdul-Malik	flickor	NA
Abdul-Malik	pojkar	NA
Abdulqadir	flickor	NA
Abdulqadir	pojkar	NA
Abdulrahim	flickor	NA
Abdulrahim	pojkar	NA
Abdulrahman	flickor	NA
Abdulrahman	pojkar	7
Abdulrazak	flickor	NA
Abdulrazak	pojkar	2
Abdulwahab	flickor	NA
Abdulwahab	pojkar	NA
Abdurahman	flickor	NA
Abdurahman	pojkar	3
Abdurrahim	flickor	NA
Abdurrahim	pojkar	2
Abdurrahman	flickor	NA
Abdurrahman	pojkar	2
Abed	flickor	NA
Abed	pojkar	2
Abed Alrahman	flickor	NA
Abed Alrahman	pojkar	NA
Abeeha	flickor	NA
Abeeha	pojkar	NA
Abeer	flickor	NA
Abeer	pojkar	NA
Abeera	flickor	NA
Abeera	pojkar	NA
Abel	flickor	NA
Abel	pojkar	13
Abenezer	flickor	NA
Abenezer	pojkar	NA
Abhiram	flickor	NA
Abhiram	pojkar	2
Abia	flickor	NA
Abia	pojkar	NA
Abid	flickor	NA
Abid	pojkar	NA
Abida	flickor	NA
Abida	pojkar	NA
Abiel	flickor	NA
Abiel	pojkar	3
Abigael	flickor	NA
Abigael	pojkar	NA
Abigail	flickor	28
Abigail	pojkar	NA
Abigayl	flickor	NA
Abigayl	pojkar	NA
Abigel	flickor	NA
Abigel	pojkar	NA
Abiha	flickor	2
Abiha	pojkar	NA
Abiir	flickor	NA
Abiir	pojkar	NA
Abir	flickor	4
Abir	pojkar	NA
Abolfazl	flickor	NA
Abolfazl	pojkar	NA
Aboubakar	flickor	NA
Aboubakar	pojkar	NA
Abra	flickor	NA
